,especie,sexo,FL,RW,CL,CW,BD
1,azul,M,86,6.7,16.1,19,81
2,azul,M,87,7.7,18.1,20.8,82
3,azul,M,90,7.8,19,22.4,83
4,azul,M,91,7.9,20.1,23.1,84
5,azul,M,5,9,23,26.5,93
6,azul,M,10,9.1,24.5,28.4,4
7,azul,M,12,10.5,25.2,29.3,3
8,azul,M,15,11,26.8,31.5,10
9,azul,M,17,10,27.7,31.7,10
10,azul,M,19,10.9,27.4,31.5,7
11,azul,M,20,11,26.8,30.9,10
12,azul,M,21,10.6,28.2,32.3,7
13,azul,M,25,11.1,29.2,33.3,15
14,azul,M,33,10.9,31.4,36.4,24
15,azul,M,33,11.5,32.4,37,26
16,azul,M,33,11.9,32.5,37.2,28
17,azul,M,35,12.1,32.3,36.7,28
18,azul,M,37,11.8,33,37.5,28
19,azul,M,40,12.6,35.8,40.3,36
20,azul,M,42,12.7,34,38.9,34
21,azul,M,43,12.8,34.9,40.7,47
22,azul,M,44,13.3,36,41.7,44
23,azul,M,45,12.7,35.6,40.9,39
24,azul,M,47,13.5,38.1,43.4,39
25,azul,M,49,12.8,36.2,41.8,39
26,azul,M,50,13.2,37.3,42.7,46
27,azul,M,51,12.6,36.4,42,41
28,azul,M,57,13.7,39.2,44.4,51
29,azul,M,62,15.8,42.1,49,63
30,azul,M,65,13.5,41.6,47.4,63
31,azul,M,65,13.8,40.9,46.5,56
32,azul,M,67,15.3,41.9,48.5,63
33,azul,M,68,14.2,43.2,49.7,67
34,azul,M,76,15.7,47.1,54.6,74
35,azul,F,85,6.5,14.7,17.1,80
36,azul,F,88,8.5,19.3,22.7,83
37,azul,F,89,8.1,18.5,21.6,83
38,azul,F,93,8.2,19.2,22.2,94
39,azul,F,92,8.9,20.4,23.9,87
40,azul,F,1,9.3,20.9,24.4,86
41,azul,F,2,9.5,21.3,24.7,88
42,azul,F,3,9.7,21.7,25.4,85
43,azul,F,5,9.5,22.5,26.3,89
44,azul,F,6,9.8,22.5,25.7,84
45,azul,F,7,10,22.8,26.9,91
46,azul,F,9,11,24.7,29.2,2
47,azul,F,10,11,24.6,28.5,4
48,azul,F,10,11.4,23.7,27.7,1
49,azul,F,11,10.6,24.9,28.5,4
50,azul,F,13,11.4,26,30.1,6
51,azul,F,14,10.7,24.6,28.9,5
52,azul,F,14,11.1,25.4,29.2,7
53,azul,F,17,12.2,26.1,31.6,9
54,azul,F,19,11.7,27.1,31.2,13
55,azul,F,21,11.5,27.6,32.6,8
56,azul,F,22,12.2,27.9,32.1,11
57,azul,F,23,11.8,28.4,32.7,12
58,azul,F,24,12.5,28.6,33.8,13
59,azul,F,25,13,30,34.9,23
60,azul,F,31,12.5,30.1,34.7,17
61,azul,F,32,13.2,30.1,35.6,14
62,azul,F,33,14.2,32.8,37.4,32
63,azul,F,34,13.3,31.8,36.3,27
64,azul,F,34,13.5,31.9,37,30
65,azul,F,34,13.8,31.7,36.6,22
66,azul,F,35,14.3,33.9,38.5,38
67,azul,F,36,14.2,32.6,38.3,30
68,azul,F,38,13.8,33.4,38.7,38
69,azul,F,39,13.9,32.8,37.9,26
70,azul,F,39,14.7,33.9,39.5,35
71,azul,F,41,15,34.5,40.3,43
72,azul,F,44,15.2,34.5,40.1,31
73,azul,F,46,14,34.2,39.8,42
74,azul,F,48,16.1,36.6,41.9,44
75,azul,F,52,16.9,38.2,44.1,54
76,azul,F,53,16.7,38.6,44.5,57
77,azul,F,64,16.5,40.9,47.9,65
78,laranja,M,89,6.9,16.7,18.6,82
79,laranja,M,4,8.6,20.7,22.7,90
80,laranja,M,8,9,22.7,24.8,2
81,laranja,M,16,9.4,24.2,27,9
82,laranja,M,18,10.4,26,28.8,15
83,laranja,M,22,11,27.1,30.4,16
84,laranja,M,23,10.1,26.6,29.6,14
85,laranja,M,26,11.5,29.2,32.2,23
86,laranja,M,27,10.4,28.9,31.8,27
87,laranja,M,27,10.7,28.7,31.9,25
88,laranja,M,28,10.6,28.7,31.7,21
89,laranja,M,28,10.7,27.8,30.9,19
90,laranja,M,28,11.3,29.2,32.2,27
91,laranja,M,30,11.3,29.9,33.5,20
92,laranja,M,37,11.1,30.2,33.6,27
93,laranja,M,40,12.2,31.7,34.2,34
94,laranja,M,44,11.8,32.3,35.3,38
95,laranja,M,45,11.6,31.6,34.2,36
96,laranja,M,51,12.6,35,38.9,47
97,laranja,M,53,12,34.4,37.3,43
98,laranja,M,55,12.5,36,39.8,55
99,laranja,M,56,12.9,36.9,40.9,53
100,laranja,M,57,13.4,36.7,41.3,58
101,laranja,M,59,13.4,37.9,42.2,62
102,laranja,M,61,13.4,37.8,41.9,60
103,laranja,M,61,13.5,36.9,40.2,57
104,laranja,M,62,13.4,37.2,41.1,61
105,laranja,M,66,14.1,39.1,43.2,63
106,laranja,M,66,14.4,39.8,44.3,64
107,laranja,M,73,14.4,42.8,46.5,72
108,laranja,M,75,15,42.9,47.2,70
109,laranja,M,78,15.5,45.5,49.7,76
110,laranja,M,79,15.4,45.7,49.7,75
111,laranja,M,83,16.8,47.2,52.1,78
112,laranja,M,84,15.7,47.6,52.8,79
113,laranja,F,4,9.7,21.4,24,93
114,laranja,F,8,9.2,21.7,24.1,92
115,laranja,F,16,10,24.1,27,6
116,laranja,F,17,11.5,25,28.1,11
117,laranja,F,26,11.9,27,31.4,18
118,laranja,F,26,12.8,28.8,32.4,19
119,laranja,F,29,12.2,28.1,31.8,17
120,laranja,F,31,13.2,29.6,33.4,21
121,laranja,F,32,13,30,33.7,25
122,laranja,F,33,12.3,30.1,33.3,32
123,laranja,F,39,13.5,31.2,35.1,33
124,laranja,F,39,14,31.6,35.3,30
125,laranja,F,39,14.1,31,34.5,30
126,laranja,F,40,13.6,31,34.8,30
127,laranja,F,43,13.7,31.4,36.1,31
128,laranja,F,44,14,31.6,35.6,29
129,laranja,F,48,14.3,32.3,37,38
130,laranja,F,51,14.5,33.1,37.2,37
131,laranja,F,53,14.4,34.5,39,49
132,laranja,F,53,14.7,33.3,37.6,37
133,laranja,F,54,14,34,38.6,45
134,laranja,F,57,14.9,34.7,39.5,47
135,laranja,F,57,16.3,37.9,43,59
136,laranja,F,58,15.7,35.1,40.5,50
137,laranja,F,59,15.5,35.6,40,48
138,laranja,F,59,15.7,36.5,41.6,52
139,laranja,F,60,14.6,37,42,54
140,laranja,F,61,14.5,34.7,39.4,40
141,laranja,F,62,15.2,35.8,40.5,54
142,laranja,F,63,16,37.8,42.3,56
143,laranja,F,63,16.3,37.9,42.6,59
144,laranja,F,67,16.7,39.9,43.6,66
145,laranja,F,69,16.6,39.4,43.9,64
146,laranja,F,70,16.7,40.4,45.1,62
147,laranja,F,71,17.2,39.8,44.1,67
148,laranja,F,93,16,39.4,44.1,94
149,laranja,F,72,17.5,40,45.5,69
150,laranja,F,74,16.5,39.9,44.7,61
151,laranja,F,76,18.4,43.8,48.4,74
152,laranja,F,77,18,41.2,46.2,68
153,laranja,F,80,17.1,41.7,47.2,72
154,laranja,F,81,17.2,42.6,47.4,71
155,laranja,F,82,17.2,43,48.7,73
156,laranja,F,84,20.2,46.2,52.5,77
